UNITID,OPEID,opeid6,INSTNM,CITY,STABBR,INSTURL,NPCURL,HCM2,PREDDEG,CONTROL,LOCALE,HBCU,PBI,ANNHI,TRIBAL,AANAPII,HSI,NANTI,MENONLY,WOMENONLY,RELAFFIL,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SATVRMID,SATMTMID,SATWRMID,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTWR25,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,SAT_AVG_ALL,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,CURROPER,NPT4_PUB-AVERAGE-ANNUAL-COST,NPT4_PRIV,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,NPT41_PRIV,NPT42_PRIV,NPT43_PRIV,NPT44_PRIV,NPT45_PRIV,PCTPELL,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,PCTFLOAN,UG25abv,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,RPY_3YR_RT_SUPP,C150_4_POOLED_SUPP-REPORTED-GRAD-RATE,C200_L4_POOLED_SUPP,med_earnings_10yrs,gt_25k_p6,high_earning,prgm_prct_stem,ind_z_pre,ind_z_post,ind_z_shift
100654,100200,1002,Alabama A & M University,Normal,AL,www.aamu.edu/,galileo.aamu.edu/netpricecalculator/npcalc.htm,0,3,Public,12,1,0,0,0,0,0,0,0,0,NULL,370,450,350,450,NULL,NULL,410,400,NULL,15,19,14,19,15,18,NULL,NULL,17,17,17,NULL,823,823,0.0397,0.0199,0.0116,0,0,0.0348,0.0348,0,0.149,0.1175,0.0348,0,0.0281,0,0.0182,0.0546,0,0.1026,0.0199,0,0,0,0,0,0.0248,0,0.0579,0.005,0.0364,0.048,0,0,0,0,0.0166,0,0.1457,0,0,4051,0.0279,0.9501,0.0089,0.0022,0.0012,0.001,0,0.0002,0.0084,0.0622,1,13415,NULL,12683,13292,16104,16944,15416,NULL,NULL,NULL,NULL,NULL,0.7115,0.6314,NA,0.5,NA,0.8204,0.1049,33611.5,373.1565536,0.44471387,0.308718313,NULL,31400,0.462298036,0,0.3692,0.06652813735311322,-0.07128014716405015,-0.13780828451716337
100724,100500,1005,Alabama State University,Montgomery,AL,www.alasu.edu/email/index.aspx,www.alasu.edu/cost-aid/forms/calculator/index.aspx/,0,3,Public,12,1,0,0,0,0,0,0,0,0,NULL,380,480,370,480,NULL,NULL,430,425,NULL,15,19,14,20,15,18,NULL,NULL,17,17,17,NULL,830,830,0,0,0,0,0.0733,0,0.045,0,0.215,0,0,0,0,0,0.0183,0,0,0.1033,0.0183,0,0,0.0183,0,0,0.015,0,0.0617,0.1183,0.065,0.015,0,0,0,0,0.0567,0.0633,0.1067,0.0067,0,5354,0.0161,0.9285,0.0114,0.0015,0.0009,0.0007,0.0064,0.0207,0.0138,0.0902,1,11936,NULL,12342,10811,11362,13079,2948,NULL,NULL,NULL,NULL,NULL,0.8265,0.6219,NA,0.3023,NA,0.8735,0.127,33452,371.3857766,0.331198862,0.257481955,NULL,27800,0.342225611,0,0.2449,0.05947589963580767,-0.06372417818122256,-0.12320007781703023
100830,831000,8310,Auburn University at Montgomery,Montgomery,AL,www.aum.edu,www.aum.edu/admissions/financial-information/price-estimator-calculator,0,3,Public,12,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,23,18,23,17,23,NULL,NULL,21,21,20,NULL,970,970,0,0,0,0,0.0534,0,0,0,0.1406,0,0,0.0036,0,0,0.016,0.0267,0,0.1032,0.0018,0,0,0,0,0,0.0231,0,0.0516,0.0694,0,0.0196,0,0,0,0,0.0107,0.1868,0.2847,0.0089,0,4322,0.5532,0.3031,0.0079,0.0245,0.0037,0,0,0.0435,0.0641,0.3061,1,11915,NULL,9044,11037,14542,15537,15579,NULL,NULL,NULL,NULL,NULL,0.4006,0.6321,NA,0.4545,NA,0.6476,0.2938,21791,241.9247716,0.628856194,0.285309228,NULL,34800,0.554537117,0,0.3149,0.2080872589238287,-0.2229506345612448,-0.4310378934850735
101073,1055400,10554,Concordia College Alabama,Selma,AL,www.ccal.edu/,www.ccal.edu/netprice/netprice/,0,3,PrivateNonProfit,32,1,0,0,0,0,0,0,0,0,68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,0,0,0,0,0,0,0,0,0.3457,0,0,0,0,0,0,0.4815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1728,0,0,523,0.0115,0.9388,0.0134,0.0038,0,0,0,0.0325,0,0.0631,1,NULL,12686,NULL,NULL,NULL,NULL,NULL,11727,12333,15293,17505,NULL,0.8363,0.4103,NA,0,NA,0.91,0.2367,26500,294.204325,0.254125413,0.134843721,NULL,21300,0.287206262,0,0,0.06711538471407197,-0.06711538471407202,-0.134230769428144
101453,2199700,21997,Heritage Christian University,Florence,AL,www.hcu.edu,www.hcu.edu/share/news/npcalc.htm,0,3,PrivateNonProfit,13,0,0,0,0,0,0,0,0,0,74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0.7313,0.1194,0.0448,0,0,0.0149,0.0149,0.0299,0.0448,0.5224,1,NULL,9346,NULL,NULL,NULL,NULL,NULL,9346,NULL,NULL,NULL,NULL,0.4839,1,NA,0,NA,0.4839,0.5942,NA,PrivacySuppressed,0.511627907,PrivacySuppressed,NULL,32700,PrivacySuppressed,0,0,-0.021554559315361158,0.021554559315361023,0.043109118630722185
101541,102300,1023,Judson College,Marion,AL,www.judson.edu,www.judson.edu,0,3,PrivateNonProfit,43,0,0,0,0,0,0,0,0,1,54,550,640,500,600,530,610,595,550,570,19,24,19,26,16,23,NULL,NULL,22,23,20,NULL,1023,1023,0.0345,0,0,0,0,0,0,0,0.069,0,0,0,0,0,0.069,0,0,0.0862,0.0172,0,0.0345,0,0.0172,0,0.0172,0,0.0517,0.069,0.0172,0.0172,0,0,0,0,0.0862,0.3448,0.069,0,0,331,0.7915,0.145,0.0151,0.0091,0.003,0,0.006,0.0091,0.0211,0.2115,1,NULL,17243,NULL,NULL,NULL,NULL,NULL,15101,17186,20215,19308,19757,0.4788,0.5974,NA,NA,NA,0.711,0.2622,NA,PrivacySuppressed,0.718120805,0.390415068,NULL,30700,0.373831779,0,0.4654,-0.004045043359469049,0.004045043359469413,0.008090086718938462
101587,102400,1024,University of West Alabama,Livingston,AL,www.uwa.edu,secure.uwa.edu/calculator/npcalc.htm,0,3,Public,43,0,1,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,22,16,21,17,22,NULL,NULL,20,19,20,NULL,950,950,0,0,0,0,0.0034,0,0,0,0.2169,0,0.0237,0,0,0,0.0305,0,0,0.0373,0.0373,0,0.0203,0,0,0,0.0169,0,0.0407,0,0,0.0508,0,0.0102,0,0,0,0.2136,0.2746,0.0237,0,1988,0.4291,0.4195,0.0216,0.0101,0.0035,0.001,0.0091,0.0473,0.0589,0.1479,1,13221,NULL,12131,12490,15140,15656,15509,NULL,NULL,NULL,NULL,NULL,0.5604,0.5781,NA,0.5385,NA,0.7193,0.1786,22500,249.796125,0.543230016,0.330417768,NULL,33800,0.566546738,0,0.3288,0.0025722274729645064,-0.0026609249720323,-0.005233152444996806
101675,102800,1028,Miles College,Fairfield,AL,www.miles.edu,miles.edu,0,3,PrivateNonProfit,21,1,0,0,0,0,0,0,0,0,55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,0,0.0107,0,0,0.0963,0,0.0588,0,0.0802,0,0,0,0.0321,0,0.0107,0,0,0.1444,0.0053,0,0,0,0,0,0,0,0,0.1818,0.0802,0.0481,0,0,0,0,0.0053,0,0.246,0,0,1663,0.018,0.9693,0.0054,0,0,0.0006,0.0066,0,0,0.0523,1,NULL,15217,NULL,NULL,NULL,NULL,NULL,14741,14369,17533,20393,18803,0.8227,0.5476,NA,0.25,NA,0.9184,0.1657,36569,405.9908665,0.216788916,0.189705012,NULL,27200,0.362565458,0,0.2085,-0.15749221823925003,0.15749221823925053,0.31498443647850055
101912,103300,1033,Oakwood University,Huntsville,AL,www.oakwood.edu,www.oakwood.edu/campus-services/financial-aid,0,3,PrivateNonProfit,12,1,0,0,0,0,0,0,0,0,95,410,513,400,510,NULL,NULL,462,455,NULL,17,22,16,23,16,22,NULL,NULL,20,20,19,NULL,924,924,0,0,0,0,0.0222,0,0.0139,0,0.05,0,0,0.0278,0.0139,0,0.0139,0.0806,0,0.2028,0.0194,0,0.0028,0,0,0.0833,0.0083,0,0.05,0,0.0389,0.0472,0,0,0,0,0.0306,0.1556,0.1306,0.0083,0,1854,0.0102,0.8495,0.0237,0.0016,0.0038,0,0,0.082,0.0291,0.0453,1,NULL,26954,NULL,NULL,NULL,NULL,NULL,25558,26623,27028,29881,28929,0.5066,0.7876,NA,NA,NA,0.7411,0.1472,30500,338.612525,0.439215686,0.371902479,NULL,33700,0.421787709,0,0.4,0.10290618284534588,-0.10290618284534592,-0.20581236569069178
102261,2270400,22704,Southeastern Bible College,Birmingham,AL,www.sebc.edu,www.sebc.edu/finaid/net-price-calculator/,0,3,PrivateNonProfit,21,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,25,14,26,15,24,NULL,NULL,21,20,20,NULL,970,970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0.625,0.2938,0.0313,0,0.0063,0,0.0063,0.0063,0.0313,0.1875,1,NULL,12954,NULL,NULL,NULL,NULL,NULL,10494,17627,15477,NULL,NULL,0.6089,0.6429,NA,NA,NA,0.7877,0.5466,30083,333.9829702,0.496062992,0.239086957,NULL,28800,0.620689631,0,0,0.24833349865875343,-0.2568967227504343,-0.5052302214091877
